event_id,waveform_file,station,datetime,s_arrival_time,p_arrival_time,latitude,longitude,depth,back_azimuth,magnitude,snr_horizontal,rectilinearity_jurkevics,incidence_p_jurkevics,incidence_eigenvalue_s,incidence_pykonal_s
25,waveforms/event_2015-01-22T05-20-42.271000Z.mseed,AXEC2,2015-01-22T05:20:42.271000Z,1.609,0.939,45.942486,-130.014114,0.548,276.4318425794763,0.0,2.852838951906082,0.9514764438880772,7.707825097326403,7.5556402071865305,17.14375748379656
26,waveforms/event_2015-01-22T05-37-03.654000Z.mseed,AXEC2,2015-01-22T05:37:03.654000Z,0.846,0.436,45.943508,-129.988815,0.575,290.8272910236691,0.0,4.224402199027269,0.9734115014986997,9.132507800223804,5.336143859955708,17.551452297867165
27,waveforms/event_2015-01-22T05-45-24.086000Z.mseed,AXEC2,2015-01-22T05:45:24.086000Z,1.314,0.664,45.950626,-129.996613,0.424,305.25249249696935,0.0,6.53497994539647,0.9737252651583354,8.632871051461297,3.4987729872384423,19.1007977790899
28,waveforms/event_2015-01-22T05-45-28.608000Z.mseed,AXEC2,2015-01-22T05:45:28.608000Z,1.642,0.892,45.935673,-130.019485,1.251,263.5687924553485,0.0,5.752224125635228,0.9026655790445702,28.358257970487028,6.749430421846422,23.347927938394175
29,waveforms/event_2015-01-22T06-00-47.807000Z.mseed,AXEC2,2015-01-22T06:00:47.807000Z,1.093,0.563,45.94722,-129.993484,0.477,299.50899060519345,0.0,2.874817821375327,0.9705991203549543,6.638616735972832,4.365904300311438,19.579457974355236
30,waveforms/event_2015-01-22T08-04-58.864000Z.mseed,AXEC2,2015-01-22T08:04:58.864000Z,0.976,0.526,45.926674,-129.982758,1.202,206.3887050955011,0.0,7.249624336796842,0.9664039216764639,9.677102194895188,4.328538770489736,56.399759554020406
31,waveforms/event_2015-01-22T08-52-12.418000Z.mseed,AXEC2,2015-01-22T08:52:12.418000Z,1.332,0.642,45.949718,-129.99675,0.286,302.82027259002746,0.0,3.9807166845753272,0.9433668707437461,4.948498882491071,0.058495117509892176,19.28940709632996
32,waveforms/event_2015-01-22T09-09-11.746000Z.mseed,AXEC2,2015-01-22T09:09:11.746000Z,0.844,0.424,45.938282,-129.983475,1.6,259.0838040314562,0.0,5.2751862171395345,0.9782986784501886,4.588472217430855,2.572683539598474,16.7317717088537
34,waveforms/event_2015-01-22T10-15-32.156000Z.mseed,AXEC2,2015-01-22T10:15:32.156000Z,1.604,0.834,45.943146,-130.016205,0.645,277.41630895863545,0.0,4.934345099382914,0.9805975700839646,21.112610094028273,1.753890112971713,17.83370347292606
35,waveforms/event_2015-01-22T10-34-31.092000Z.mseed,AXEC2,2015-01-22T10:34:31.092000Z,1.608,0.838,45.942497,-130.016464,0.679,276.1406616417938,0.0,3.1667100213832127,0.985904173947571,15.217348002450766,5.664638298457444,16.960627267751484
36,waveforms/event_2015-01-22T11-34-13.221000Z.mseed,AXEC2,2015-01-22T11:34:13.221000Z,1.419,0.699,45.960281,-129.996307,1.316,323.41081250908553,0.0,6.990576308428598,0.9816736239453019,6.19963989104701,2.9352824735598038,13.280918960168307
37,waveforms/event_2015-01-22T12-11-41.344000Z.mseed,AXEC2,2015-01-22T12:11:41.344000Z,1.576,0.796,45.964386,-129.99942,1.37,324.84081872945467,0.0,7.904329469127328,0.9657883497053675,8.866009092453695,5.469842194189191,26.97105922747212
38,waveforms/event_2015-01-22T12-14-48.225000Z.mseed,AXEC2,2015-01-22T12:14:48.225000Z,1.435,0.745,45.954559,-129.998474,0.451,311.569297787873,0.0,5.097672751128055,0.8070754507154501,23.024299767306143,0.753989793704481,14.023692379764725
39,waveforms/event_2015-01-22T12-16-39.511000Z.mseed,AXEC2,2015-01-22T12:16:39.511000Z,1.429,0.719,45.955929,-129.999084,0.588,313.3800395568958,0.0,5.260797050698362,0.9253326972421441,10.813996546748193,1.5712318347005734,13.945211290140959
40,waveforms/event_2015-01-22T12-22-39.372000Z.mseed,AXEC2,2015-01-22T12:22:39.372000Z,1.138,0.588,45.947117,-129.992386,0.341,300.5769105371166,0.0,8.214574753821466,0.9746921283117865,4.966685125278861,2.139654135098225,18.148244260688696
42,waveforms/event_2015-01-22T13-28-33.091000Z.mseed,AXEC2,2015-01-22T13:28:33.091000Z,1.079,0.559,45.951408,-129.986465,0.435,323.7356337314072,0.0,3.778443232901366,0.9701950741393973,7.74410991379114,1.1166529185805378,20.50020734996139
43,waveforms/event_2015-01-22T13-28-40.810000Z.mseed,AXEC2,2015-01-22T13:28:40.810000Z,1.57,0.88,45.942528,-130.014069,0.538,276.5229664464208,0.0,2.6846206002772437,0.9569163122534783,14.801461700352126,9.25827494811105,17.021291449474607
44,waveforms/event_2015-01-22T13-41-44.199000Z.mseed,AXEC2,2015-01-22T13:41:44.199000Z,1.281,0.641,45.9506,-129.996536,0.443,305.2793587275834,0.0,7.156823959933257,0.9838461358468469,7.931686741327451,2.420238787948152,15.395000775458307
45,waveforms/event_2015-01-22T16-20-16.259000Z.mseed,AXEC2,2015-01-22T16:20:16.259000Z,0.971,0.491,45.926678,-129.983215,1.105,207.52672059448082,0.0,5.431174570874928,0.8821774520987917,18.16628469631623,3.6710388955279436,17.77501956871876
46,waveforms/event_2015-01-22T16-37-26.080000Z.mseed,AXEC2,2015-01-22T16:37:26.080000Z,1.61,0.89,45.942966,-130.014923,0.57,277.2682234626432,0.0,3.433140124006208,0.9317046927734172,17.653623746268572,3.3589840827649904,14.064656549147214
47,waveforms/event_2015-01-22T16-55-54.165000Z.mseed,AXEC2,2015-01-22T16:55:54.165000Z,1.725,-2.215,45.940357,-130.011124,0.18,272.22447788895147,0.0,2.7208991655949655,0.78018209864868,51.65171024691315,3.044150132655054,14.321393966271398
48,waveforms/event_2015-01-22T17-26-39.320000Z.mseed,AXEC2,2015-01-22T17:26:39.320000Z,1.59,0.88,45.941761,-130.014267,0.537,274.9501559091407,0.0,2.9284586515270083,0.9777643746231504,11.585936757656677,2.8389732777984964,15.771542883804843
49,waveforms/event_2015-01-22T17-50-09.038000Z.mseed,AXEC2,2015-01-22T17:50:09.038000Z,1.552,0.832,45.940098,-130.010468,0.466,271.67147237138795,0.0,5.482664110042758,0.9500725882910933,7.784259059112975,6.146148462627533,16.95947008963903
50,waveforms/event_2015-01-22T18-09-43.480000Z.mseed,AXEC2,2015-01-22T18:09:43.480000Z,1.66,0.88,45.941326,-130.013092,0.491,274.1709513934387,0.0,4.548209230299257,0.964683534055427,3.5294830492005107,4.024278214337818,16.85675248124002
51,waveforms/event_2015-01-22T20-03-43.190000Z.mseed,AXEC2,2015-01-22T20:03:43.190000Z,1.55,0.78,45.963535,-129.99852,1.497,324.8599415285886,0.0,5.778038423801014,0.9498446621335885,5.612514905050586,0.6057471477679294,14.399141842401876
